animal	sex	instudy	tx	dob	harvest_date
75204.1	F	FALSE	none	2020-09-21	2022-06-02
76261.3	M	FALSE	none	2020-09-26	2022-06-02
78546.2	M	FALSE	none	2020-12-09	2022-06-02
84066.1	M	FALSE	none	2021-06-26	2022-06-02
88849.3	M	FALSE	none	2021-06-30	2022-06-02
88850.1	F	FALSE	none	2021-06-30	2022-06-02
88850.2	F	FALSE	none	2021-06-30	2022-06-02
CG1	M	TRUE	SpCBE3.9	2020-07-09	2022-04-19
CG2	M	TRUE	SpCBE3.9	2020-07-09	2022-04-19
CG3	M	TRUE	SpCBE3.9	2020-07-09	2022-04-19
CI4	F	TRUE	SpCBE3.9	2020-07-07	2022-03-11
CI5	F	TRUE	SpCBE3.9	2020-07-07	2022-04-19
CP1	F	TRUE	none	2020-07-11	2022-04-19
